1,63.84383,50.2597,80.42832
2,4.31997,5.29914,43.43545
3,-58.64187,-34.45401,86.09217
4,-27.13951,80.41577,33.3459
5,86.17053,73.32875,-25.4883
6,76.00948,-48.72216,-6.37299
7,-15.31305,-61.02381,-58.62492
8,-13.71072,30.5048,29.73838
9,89.20862,-86.83274,33.14046
10,-22.19001,-19.62056,-78.38289
11,-86.26455,-58.97719,38.68184
12,42.7129,77.46057,-58.90497
13,-36.53238,56.19316,-22.47765
14,63.9877,2.92526,-8.09005
15,41.89117,15.1644,23.92531
16,-18.97233,-63.75763,34.0881
17,-11.72569,-48.78989,-48.18711
18,75.41615,-25.40985,-85.05955
19,-61.76745,52.53979,-61.32477
20,77.77666,9.71548,19.02949
21,59.25756,-58.20009,-27.26447
22,-7.23705,38.34879,80.90592
23,-36.83847,89.83904,34.34712
24,83.355,81.51472,-81.2656
25,-77.27884,-34.4356,81.38504
